"REF_DATE","GEO","DGUID","Characteristics of potable water use","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011","Canada","2016A000011124","Total potable water volume, all sectors of use","Cubic metres","72","millions","6","v91504388","1.1","5123.7","A","","","1"
"2011","Canada","2016A000011124","Residential sector","Cubic metres","72","millions","6","v91504389","1.2","2195.8","A","","","1"
"2011","Canada","2016A000011124","Industrial, commercial, institutional and other non-residential sectors","Cubic metres","72","millions","6","v91504390","1.3","1108.1","A","","","1"
"2011","Canada","2016A000011124","Losses from the distribution system","Cubic metres","72","millions","6","v91504391","1.4","673.3","A","","","1"
"2011","Canada","2016A000011124","Wholesale water provided to other jurisdictions","Cubic metres","72","millions","6","v91504392","1.5","212.3","A","","","1"
"2011","Canada","2016A000011124","Sector of use unknown","Cubic metres","72","millions","6","v91504393","1.6","934.2","A","","","1"
"2011","Canada","2016A000011124","Average daily total use per capita of the population served","Litres per person per day","318","units ","0","v91504394","1.7","485","A","","","0"
"2011","Canada","2016A000011124","Average daily residential use per capita of the population served","Litres per person per day","318","units ","0","v91504395","1.8","251","A","","","0"
"2011","Canada","2016A000011124","Responding population served for the average daily residential use","Persons","249","units ","0","v91504396","1.9","23977930","A","","","0"
"2011","Newfoundland and Labrador","2016A000210","Total potable water volume, all sectors of use","Cubic metres","72","millions","6","v91504397","2.1","121.8","A","","","1"
"2011","Newfoundland and Labrador","2016A000210","Residential sector","Cubic metres","72","millions","6","v91504398","2.2","27.0","B","","","1"
"2011","Newfoundland and Labrador","2016A000210","Industrial, commercial, institutional and other non-residential sectors","Cubic metres","72","millions","6","v91504399","2.3","10.3","C","","","1"
"2011","Newfoundland and Labrador","2016A000210","Losses from the distribution system","Cubic metres","72","millions","6","v91504400","2.4","2.8","C","","","1"
"2011","Newfoundland and Labrador","2016A000210","Wholesale water provided to other jurisdictions","Cubic metres","72","millions","6","v91504401","2.5","","F","","","1"
"2011","Newfoundland and Labrador","2016A000210","Sector of use unknown","Cubic metres","72","millions","6","v91504402","2.6","81.6","A","","","1"
"2011","Newfoundland and Labrador","2016A000210","Average daily total use per capita of the population served","Litres per person per day","318","units ","0","v91504403","2.7","810","A","","","0"
"2011","Newfoundland and Labrador","2016A000210","Average daily residential use per capita of the population served","Litres per person per day","318","units ","0","v91504404","2.8","530","A","","","0"
"2011","Newfoundland and Labrador","2016A000210","Responding population served for the average daily residential use","Persons","249","units ","0","v91504405","2.9","139591","A","","","0"
"2011","Prince Edward Island","2016A000211","Total potable water volume, all sectors of use","Cubic metres","72","millions","6","v91504406","3.1","11.4","A","","","1"
"2011","Prince Edward Island","2016A000211","Residential sector","Cubic metres","72","millions","6","v91504407","3.2","5.6","A","","","1"
"2011","Prince Edward Island","2016A000211","Industrial, commercial, institutional and other non-residential sectors","Cubic metres","72","millions","6","v91504408","3.3","3.6","A","","","1"
"2011","Prince Edward Island","2016A000211","Losses from the distribution system","Cubic metres","72","millions","6","v91504409","3.4","1.0","A","","","1"
"2011","Prince Edward Island","2016A000211","Wholesale water provided to other jurisdictions","Cubic metres","72","millions","6","v91504410","3.5","0.0","","","","1"
"2011","Prince Edward Island","2016A000211","Sector of use unknown","Cubic metres","72","millions","6","v91504411","3.6","1.2","A","","","1"
"2011","Prince Edward Island","2016A000211","Average daily total use per capita of the population served","Litres per person per day","318","units ","0","v91504412","3.7","491","A","","","0"
"2011","Prince Edward Island","2016A000211","Average daily residential use per capita of the population served","Litres per person per day","318","units ","0","v91504413","3.8","284","A","","","0"
"2011","Prince Edward Island","2016A000211","Responding population served for the average daily residential use","Persons","249","units ","0","v91504414","3.9","53923","A","","","0"
"2011","Nova Scotia","2016A000212","Total potable water volume, all sectors of use","Cubic metres","72","millions","6","v91504415","4.1","97.2","A","","","1"
"2011","Nova Scotia","2016A000212","Residential sector","Cubic metres","72","millions","6","v91504416","4.2","42.7","B","","","1"
"2011","Nova Scotia","2016A000212","Industrial, commercial, institutional and other non-residential sectors","Cubic metres","72","millions","6","v91504417","4.3","21.9","B","","","1"
"2011","Nova Scotia","2016A000212","Losses from the distribution system","Cubic metres","72","millions","6","v91504418","4.4","17.6","B","","","1"
"2011","Nova Scotia","2016A000212","Wholesale water provided to other jurisdictions","Cubic metres","72","millions","6","v91504419","4.5","1.3","D","","","1"
"2011","Nova Scotia","2016A000212","Sector of use unknown","Cubic metres","72","millions","6","v91504420","4.6","13.7","C","","","1"
"2011","Nova Scotia","2016A000212","Average daily total use per capita of the population served","Litres per person per day","318","units ","0","v91504421","4.7","462","A","","","0"
"2011","Nova Scotia","2016A000212","Average daily residential use per capita of the population served","Litres per person per day","318","units ","0","v91504422","4.8","225","A","","","0"
